Government,Canada,Carretera,None,1618.5,$   3.00,$   20.00,$   32,370.00,$   - 0,$   32,370.00,$   16,185.00,$   16,185.00,1/1/14,1,January,2014
Channel Partners,Canada,Montana,None,2518,$   5.00,$   12.00,$   30,216.00,$   - 0,$   30,216.00,$   7,554.00,$   22,662.00,6/1/14,6,June,2014
Enterprise,Canada,Montana,None,2665.5,$   5.00,$   125.00,$   333,187.50,$   - 0,$   333,187.50,$   319,860.00,$   13,327.50,7/1/14,7,July,2014
Enterprise,Canada,Montana,None,345,$   5.00,$   125.00,$   43,125.00,$   - 0,$   43,125.00,$   41,400.00,$   1,725.00,10/1/13,10,October,2013
Government,Canada,Paseo,None,292,$   10.00,$   20.00,$   5,840.00,$   - 0,$   5,840.00,$   2,920.00,$   2,920.00,2/1/14,2,February,2014
Channel Partners,Canada,Paseo,None,2518,$   10.00,$   12.00,$   30,216.00,$   - 0,$   30,216.00,$   7,554.00,$   22,662.00,6/1/14,6,June,2014
Government,Canada,Paseo,None,1725,$   10.00,$   350.00,$   603,750.00,$   - 0,$   603,750.00,$   448,500.00,$   155,250.00,11/1/13,11,November,2013
Midmarket,Canada,Paseo,None,2152,$   10.00,$   15.00,$   32,280.00,$   - 0,$   32,280.00,$   21,520.00,$   10,760.00,12/1/13,12,December,2013
Government,Canada,Paseo,None,1817,$   10.00,$   20.00,$   36,340.00,$   - 0,$   36,340.00,$   18,170.00,$   18,170.00,12/1/14,12,December,2014
Enterprise,Canada,Velo,None,345,$   120.00,$   125.00,$   43,125.00,$   - 0,$   43,125.00,$   41,400.00,$   1,725.00,10/1/13,10,October,2013
Small Business,Canada,VTT,None,2001,$   250.00,$   300.00,$   600,300.00,$   - 0,$   600,300.00,$   500,250.00,$   100,050.00,2/1/14,2,February,2014
Government,Canada,VTT,None,1817,$   250.00,$   20.00,$   36,340.00,$   - 0,$   36,340.00,$   18,170.00,$   18,170.00,12/1/14,12,December,2014
Government,Canada,VTT,Low,1326,$   250.00,$   7.00,$   9,282.00,$   92.82,$   9,189.18,$   6,630.00,$   2,559.18,3/1/14,3,March,2014
Channel Partners,Canada,Carretera,Low,1445,$   3.00,$   12.00,$   17,340.00,$   173.40,$   17,166.60,$   4,335.00,$   12,831.60,9/1/14,9,September,2014
Government,Canada,Montana,Low,1830,$   5.00,$   7.00,$   12,810.00,$   128.10,$   12,681.90,$   9,150.00,$   3,531.90,8/1/14,8,August,2014
Enterprise,Canada,Velo,Low,923,$   120.00,$   125.00,$   115,375.00,$   1,153.75,$   114,221.25,$   110,760.00,$   3,461.25,8/1/14,8,August,2014
Government,Canada,Velo,Low,2092,$   120.00,$   7.00,$   14,644.00,$   146.44,$   14,497.56,$   10,460.00,$   4,037.56,11/1/13,11,November,2013
Government,Canada,VTT,Low,943.5,$   250.00,$   350.00,$   330,225.00,$   3,302.25,$   326,922.75,$   245,310.00,$   81,612.75,4/1/14,4,April,2014
Enterprise,Canada,Carretera,Low,742.5,$   3.00,$   125.00,$   92,812.50,$   1,856.25,$   90,956.25,$   89,100.00,$   1,856.25,4/1/14,4,April,2014
Channel Partners,Canada,Carretera,Low,1295,$   3.00,$   12.00,$   15,540.00,$   310.80,$   15,229.20,$   3,885.00,$   11,344.20,10/1/14,10,October,2014
Government,Canada,Carretera,Low,2852,$   3.00,$   350.00,$   998,200.00,$   19,964.00,$   978,236.00,$   741,520.00,$   236,716.00,12/1/14,12,December,2014
Midmarket,Canada,Paseo,Low,2363,$   10.00,$   15.00,$   35,445.00,$   708.90,$   34,736.10,$   23,630.00,$   11,106.10,2/1/14,2,February,2014
Channel Partners,Canada,Paseo,Low,1295,$   10.00,$   12.00,$   15,540.00,$   310.80,$   15,229.20,$   3,885.00,$   11,344.20,10/1/14,10,October,2014
Small Business,Canada,Paseo,Low,1916,$   10.00,$   300.00,$   574,800.00,$   11,496.00,$   563,304.00,$   479,000.00,$   84,304.00,12/1/14,12,December,2014
Government,Canada,Paseo,Low,2852,$   10.00,$   350.00,$   998,200.00,$   19,964.00,$   978,236.00,$   741,520.00,$   236,716.00,12/1/14,12,December,2014
Enterprise,Canada,Paseo,Low,2729,$   10.00,$   125.00,$   341,125.00,$   6,822.50,$   334,302.50,$   327,480.00,$   6,822.50,12/1/14,12,December,2014
Enterprise,Canada,VTT,Low,2729,$   250.00,$   125.00,$   341,125.00,$   6,822.50,$   334,302.50,$   327,480.00,$   6,822.50,12/1/14,12,December,2014
Small Business,Canada,Amarilla,Low,1916,$   260.00,$   300.00,$   574,800.00,$   11,496.00,$   563,304.00,$   479,000.00,$   84,304.00,12/1/14,12,December,2014
Channel Partners,Canada,Carretera,Low,908,$   3.00,$   12.00,$   10,896.00,$   326.88,$   10,569.12,$   2,724.00,$   7,845.12,12/1/13,12,December,2013
